id,word,instrustion,source,category
26,thank,"Begin with both hands next to each other in front of you with your palms oriented toward yourself, and your hands diagonal so that your fingers are pointing at your chin. The fingertips of your dominant hand should be touching your chin. Then, move your hands forward a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/d6e3efab-f310-49de-87a4-3e66e02a74d9.mp4,communication
27,sorry,Begin with your hand against your chest with your palm oriented towards yourself. Move your hand in a circular motion around your chest once or twice.,https://d2drp7fo8uq4gv.cloudfront.net/a9f2ba3d-fd41-4347-9c6c-657fd532f7d2.mp4,communication
28,name,Tap the side of the middle finger of your dominant hand onto the side of the index finger of your non-dominant hand a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/353736fc-5fbd-4a2c-b813-258b86018388.mp4,communication
29,time,"With your dominant hand in a ""T"" handshape, move it in a circle in front of the palm of your non-dominant hand and then place your dominant hand against the palm of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/9340b62b-9cde-4ac7-94dd-0491f23a3a07.mp4,time
30,day,Begin with your non-dominant hand underneath the elbow of your dominant hand. The forearm of your dominant hand should be vertical and your dominant hand should be oriented toward yourself. Move your forearm down until your dominant hand is on top of the forearm of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/a2cf2583-22fe-4919-b35d-b9e16eccad87.mp4,time
31,night,"With both hands oriented down in front of you with your dominant hand on top of your non-dominant hand, tap the palm side of your dominant hand down on the back of your non-dominant hand 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/3372e163-dbce-4c4b-82d9-13a0fe562b2e.mp4,time
32,morning,"Begin with your non-dominant hand inside the elbow of your dominant hand. The forearm of your dominant hand should be laid out horizontally in front of your with your palm oriented upward. Then, you should move your forearm up toward yourself until your forearm and hand are vertical.",https://d2drp7fo8uq4gv.cloudfront.net/5289646c-e01f-47d0-a30c-57394667e7f6.mp4,time
33,afternoon,"Place your non-dominant hand under the elbow of your dominant hand. The dominant hand should be open with the fingers together. Begin the sign with the dominant hand facing forwards and slightly bent down, and then angle the forearm and hand downwards 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/a083667c-c9e4-4d0e-be5f-b401ff72e29e.mp4,time
34,noon,Place your non-dominant hand underneath the elbow of your dominant hand. The forearm of your dominant hand and your dominant hand should be vertical with your palm oriented to the side. Tap your elbow on the top of your non-dominant hand a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/0d89c60f-75ea-45b0-a3e0-af8b59fdd6fa.mp4,time
35,hour,"With both of your hands oriented towards each other, make a ""1"" handshape with your dominant hand and move it in a circular motion.",https://d2drp7fo8uq4gv.cloudfront.net/41458fbc-7041-476b-8c33-badc56d6ba07.mp4,time
36,minute,"With both palms oriented toward each other, place your dominant hand near the top of the fingers of your non-dominant hand. Then, slightly move the index finger of your dominant hand back and forth a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/3e9906b6-03d6-49a6-805d-14738ad0e395.mp4,time
37,month,"Place your non-dominant hand in front of you with your palm oriented away from yourself. Place the index finger of your dominant hand horizontally behind the top of the index finger of your non-dominant hand. Then, move your hand down the back of your index finger.",https://d2drp7fo8uq4gv.cloudfront.net/076a6621-3875-4a43-8409-a69e84ed6b0b.mp4,time
38,year,"Begin with both hands in front of you with the pinkie side of your dominant hand on top of the thumb side of your non-dominant hand. Then, move your hands in a circle around each other, with your hands ending up back where they began. Your dominant hand should move forward first, and your dominant hand should move backwards first when making the circular motion.",https://d2drp7fo8uq4gv.cloudfront.net/30028491-b88d-4ee9-81f5-8ddd1027dcd3.mp4,time
39,week,"Begin with your dominant hand on top of the base of your your palm with both palms oriented toward each other. Then, slide your dominant hand across your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/06b766c3-30df-4e54-836f-00bc29dc68fb.mp4,time
40,weekend,"Begin with your dominant hand above the fingertips of your non-dominant hand. Your non-dominant hand should be pointing to the side and oriented toward yourself. Your dominant hand should be pointing away from you. Then, move your dominant hand to the side, just past your the fingertips of your non-dominant hand, and then move it down past your non-dominant hand while opening up your hand.",https://d2drp7fo8uq4gv.cloudfront.net/12e83c71-e3fb-40e1-95fb-a89f06d7aa5c.mp4,time
41,Monday,"WIth your hand in front of you in an ""M"" handshape and your palm oriented towards yourself, move your hand in a circular motion once or twice.",https://d2drp7fo8uq4gv.cloudfront.net/8094a4a9-6c64-47cc-a843-baab928161f9.mp4,time
42,Tuesday,"With your hand in a ""T"" handshape and your palm oriented away from yourself, move your hand in a circle once or twice.",https://d2drp7fo8uq4gv.cloudfront.net/b644646b-b30e-48fd-bd94-3fa994bd0f38.mp4,time
43,Wednesday,"With your hand in a ""W"" handshape and your palm oriented towards yourself, move your hand in a circle once or twice.",https://d2drp7fo8uq4gv.cloudfront.net/b8ec7e85-c218-471d-9811-3e793d29d350.mp4,time
44,Thursday,"With your hand in an ""H"" handshape an your palm oriented towards yourself, move it in a circular motion 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/01fd528c-25ad-41c2-9f52-8e7a9bb55833.mp4,time
45,Friday,"Using an ""F"" handshape and your palm oriented away from yourself, make a circular motion two times.",https://d2drp7fo8uq4gv.cloudfront.net/3cded6fc-c67d-4e34-8ffd-b1aa1d5adf4d.mp4,time
46,Saturday,"With your hand in front of you and facing away from yourself in an ""S"" handshape, move your hand in a small circle a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/4cda93e8-7d3b-4abb-b412-5971ce57ae09.mp4,time
47,Sunday,"Begin with both hands in front of you with your palms oriented away from yourself. Then, move both hands in a circle 2 times. The circle on both hands should begin by moving slightly down and then towards the other hand.",https://d2drp7fo8uq4gv.cloudfront.net/d2c0690e-1ab2-470e-835c-1544fb45120b.mp4,time
48,today,Begin with both hands next to each other in front of you with your palms oriented up and slightly move your hands down a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/88592958-4301-451c-aab6-39208994ed9e.mp4,time
49,yesterday,"Begin with your hand next to your chin with your thumb touching your chin. Then, move your hand off of your face and place your thumb against the side of your face near your ear.",https://d2drp7fo8uq4gv.cloudfront.net/216b38fd-4f72-4cf8-bcaf-2cabe5d244c6.mp4,time
50,tomorrow,"Begin with your thumb touching the side of your chin with your palm oriented forward. Then, rotate your wrist forward until your thumb is pointing up.",https://d2drp7fo8uq4gv.cloudfront.net/34628485-6f9c-4fd2-bd14-5c56842b6faf.mp4,time
51,go,"Begin your hand above your shoulder, and then move it away from yourself. As your hand moves, your fingers should wiggle and then change into an ""S"" handshape.",https://d2drp7fo8uq4gv.cloudfront.net/d883506c-fbaa-4dc4-a98b-cafe7a4bd865.mp4,activity
52,come,"Begin with both hands in front of you with your palms oriented upward. Then bring both hands toward yourself, bending your wrists down as you move, and ending with your palms oriented downward.",https://d2drp7fo8uq4gv.cloudfront.net/bc4be3f8-9bda-4986-9680-4f497927f387.mp4,activity
53,leave,Begin with your hands next to each other and away from your body. Bring both hands toward yourself while bringing your fingertips together.,https://d2drp7fo8uq4gv.cloudfront.net/4b7b7e12-20c8-48e6-a5f8-95be2df10c12.mp4,activity
54,arrive,Place your dominant hand in front of you with your palm oriented upward. Begin with your dominant hand close to you with its palm oriented towards yourself. Then bring your dominant hand down onto the palm of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/0ffb7a42-0088-4f53-82a7-308faa51c5e5.mp4,activity
55,walk,"Begin with your hand near yourself with your index and middle fingers pointing down. Then, move your hand forward while moving your index and middle fingers in opposite directions forward and backward mimicking a person walking.",https://d2drp7fo8uq4gv.cloudfront.net/4e655027-4b20-4b0f-b296-cfccf0011314.mp4,activity
56,run,Begin with both hands next to each other in front of you with your thumbs touching each other and your palms oriented down. Move both of your hands forward while curling in your index fingers a few times.,https://d2drp7fo8uq4gv.cloudfront.net/da13014c-ce8a-4ace-ae2d-844f355c97be.mp4,activity
57,drive,"Begin with both hands in front of your chest with your dominant hand above your non-dominant hand. Then, move both hands away from you.",https://d2drp7fo8uq4gv.cloudfront.net/115992dd-2003-42f2-a4fa-75c24082df2a.mp4,activity
58,sit,Place the curled index and middle fingers of your dominant hand over the extended index and middle fingers of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/ad1dd297-59d6-445f-b896-768d7e1b7021.mp4,activity
59,stay,"Begin with both hands next to each other with your palms oriented down and your thumbs touching each other. Then, move your dominant hand down.",https://d2drp7fo8uq4gv.cloudfront.net/bf12a1f2-6677-417f-830e-8ab72cdbdded.mp4,activity
60,stop,Place the pinkie side of your dominant hand on the palm of your non-dominant hand.,https://d2drp7fo8uq4gv.cloudfront.net/d72fd816-2d45-446d-9ed3-c7a32110de78.mp4,activity
61,visit,"Begin with both hands next to each other close to your chest with your palms oriented toward yourself. Then, move both hands in unison forward, away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/a1f2ceb1-1112-49c3-92e7-591fa56f2094.mp4,activity
62,eat,"With your palm orientation towards yourself, place your fingertips against your mouth. Tap your fingertips against your mouth 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/c4ffb869-70c5-4187-9aa1-a2c8b8ccfda7.mp4,activity
63,drink,"Rotate your wrist back and forth a couple of times, gesturing as if your are drinking water from a cup.",https://d2drp7fo8uq4gv.cloudfront.net/acd9107b-3a38-4349-a3e7-72c9ad9939c0.mp4,activity
64,sleep,"Begin with your hand in front of your face with the fingertips of your hand pointing at the top of your head. Then, move your hand down to your chin while bringing your fingertips together.",https://d2drp7fo8uq4gv.cloudfront.net/872f7c57-f784-455e-9ec2-ffe44b83826f.mp4,activity
65,work,"Tap the wrist area of your dominant hand on top of the back of your non-dominant hand. Your dominant hand should be vertical and oriented away from yourself, and your non-dominant hand should be oriented down and set out in front of you.",https://d2drp7fo8uq4gv.cloudfront.net/575d70d4-6234-48d3-acb2-e082e31cd7d7.mp4,activity
66,play,Place both hands in front of your with your thumbs pointing toward your chest. Alternate bringing your hands toward your chest and dragging your thumbs down on your chest.,https://d2drp7fo8uq4gv.cloudfront.net/a88946bd-9a1d-43eb-9afa-af1a38232b49.mp4,activity
67,buy,Begin with your dominant hand on top of the palm of your non-dominant hand. Bring your dominant hand forward as if handing some money to someone.,https://d2drp7fo8uq4gv.cloudfront.net/d7861550-ced7-4737-ac90-68a44c387008.mp4,activity
68,use,"Begin with both hands in front of you with the wrist of your dominant hand slightly above the back of your non-dominant hand. Then, move your dominant hand slightly to the side a couple of times, making contact with the back of your dominant hand each time.",https://d2drp7fo8uq4gv.cloudfront.net/58f0f7f1-e67c-4cd6-8ccb-88fe0bc2afc3.mp4,activity
69,know,Tap your fingertips against the side of your head 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/2fad266f-3a69-4112-bdbd-ed1af4cfd81a.mp4,activity
70,think,"Begin with your palm oriented toward yourself and the fingertips of your hand next to the side of your forehead. Then, move your hand in a circular motion around the side of your forehead while moving your fingers in different directions up and down.",https://d2drp7fo8uq4gv.cloudfront.net/3153b05b-1329-4dda-a4f3-8d0a9d7771ba.mp4,activity
71,remember,"Begin with your the thumb of your dominant hand touching the side of your forehead, then bring your dominant hand down and touch the thumb of your dominant hand on the thumb of your non-dominant hand.",https://d2drp7fo8uq4gv.cloudfront.net/d223325d-03a3-4272-9d71-fb3dc43a2790.mp4,activity
72,forget,"This sign is a combination of the signs for ""think"" and ""disappear"".",https://d2drp7fo8uq4gv.cloudfront.net/a6ed2c3d-706e-413b-b8bb-86866fb5123a.mp4,activity
73,learn,Begin with the fingertips of your dominant hand on the palm of your non-dominant hand. Bring your dominant hand to your forehead while also bringing your fingertips together.,https://d2drp7fo8uq4gv.cloudfront.net/a0dd2239-efd1-473a-ae1d-74a458b6afba.mp4,activity
74,teach,"With both hands next to each other in front of you with your palms oriented forward, slightly move your hands forward 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/92dcca86-0142-473f-941c-64104e136dac.mp4,activity
75,practice,"Place both hands in front of you, with the index finger of your non-dominant hand horizontal and the curled fingers of your dominant hand on top of the index finger. Then slide your dominant hand from side to side a couple of times while staying in contact with your index finger.",https://d2drp7fo8uq4gv.cloudfront.net/a0496dd9-f931-4288-a386-fdc64eddfad2.mp4,activity
76,plan,"Tap your forehead with your index finger, place both hands next to each other in front of you with your palms oriented toward each other. Begin with your hands on the dominant hand side of your body and then move them over to the non-dominant hand side of your body.",https://d2drp7fo8uq4gv.cloudfront.net/13a58d2e-a0a9-4418-86b0-0e93b860ce0f.mp4,activity
